VAR,mean,sd,min,1q,median,3q,max
AVI,2628.1642355514928,1557.5606988963648,807.2119721362681,1434.9987960615251,2087.213660720734,3572.035118084849,9293.81227492768
BSD,3.043144650781964,2.149016295750311,0.29227764745337537,1.777837815549321,2.490441913890452,3.5393956138315237,13.90319634086136
DCSU,847.3393575811185,1184.302375742578,12.30094374325465,337.75943894098117,533.3600165274655,877.5740277629295,9539.732512354305
DIS,4.638716774677616,1.1104807695987378,0.8768329423601261,3.8887288970787517,4.535216650635631,5.17520216467207,7.70127348015491
DSC,0.0612816776710628,0.08552440496840102,0,0,0.03440291370882633,0.08423993216940956,0.532015308840376
LDI,0.6065010413223924,0.22293172418047974,0,0.521194073814799,0.6454595398172689,0.7409753643388391,0.9946615048890733
PAR,0.050955050078047764,0.04843748585656155,0,0,0.045310582529151676,0.07634066385682504,0.20729226874793485
PD,5672.349124088526,3113.038784523231,114.67654005808366,3286.2652539736446,5489.839092846134,7244.983361548176,16142.062410456308
SND,15.075085930896444,4.414121187143729,3.6826224520450803,12.544120763860723,15.632985915123022,18.138129715096806,25.77687932612437
SP,0.31348085684071814,0.1387869990774454,0.011154993684930425,0.200801167166585,0.29766460320256527,0.4045177570420148,0.6479827014478726
TSD,0.37429783148311235,0.48125262430877275,0,0.09116824782548434,0.1951246464616235,0.39805435700338343,2.753192235155458
